epoch,accuracy,loss,val_accuracy,val_loss
0,0.9908373951911926,0.0077651552855968475,0.9897206425666809,0.00865398719906807
1,0.9909490346908569,0.0072705610655248165,0.9897353053092957,0.0086272107437253
2,0.9909918904304504,0.007043804973363876,0.9897239804267883,0.008956105448305607
3,0.9910414218902588,0.006844031158834696,0.989691436290741,0.009137216955423355
4,0.9910730719566345,0.006685820408165455,0.9896905422210693,0.008957973681390285
5,0.9911103248596191,0.006555093917995691,0.9896450042724609,0.009366909973323345
6,0.9911365509033203,0.006418692879378796,0.9896519780158997,0.009908315725624561
7,0.9911749958992004,0.006294419523328543,0.9896742105484009,0.009508633986115456
8,0.9911999702453613,0.006181594915688038,0.9897094368934631,0.009705247357487679
9,0.9912300109863281,0.006071676034480333,0.9896822571754456,0.00986323319375515
10,0.9912657737731934,0.005953352432698011,0.9896878600120544,0.009898047894239426
11,0.9912901520729065,0.005859137047082186,0.9896711707115173,0.010240133851766586
