epoch,accuracy,loss,val_accuracy,val_loss
0,0.9821042418479919,0.0537797212600708,0.9856378436088562,0.026817817240953445
1,0.9872866272926331,0.024133317172527313,0.9856442809104919,0.029843488708138466
2,0.9879290461540222,0.020648371428251266,0.987258791923523,0.017044605687260628
3,0.9888951182365417,0.016748862341046333,0.9879191517829895,0.014696729369461536
4,0.989266037940979,0.014966717921197414,0.9879683256149292,0.01372609008103609
5,0.9893730878829956,0.014415666460990906,0.9882903695106506,0.012812551110982895
6,0.9896285533905029,0.013206481002271175,0.9883880615234375,0.012904065661132336
7,0.9895719289779663,0.01314393151551485,0.9882671236991882,0.013009143993258476
8,0.9898139238357544,0.012132756412029266,0.9883784055709839,0.012487146072089672
9,0.989970326423645,0.01158718578517437,0.9885746240615845,0.01123497448861599
10,0.9897844195365906,0.012288243509829044,0.9890114068984985,0.011157558299601078
11,0.9901897311210632,0.010562794283032417,0.9889135956764221,0.01054899301379919
12,0.9903870820999146,0.009836294688284397,0.9891332387924194,0.009568944573402405
13,0.9901413321495056,0.010830269195139408,0.9887709021568298,0.011570905335247517
14,0.9903625249862671,0.009939098730683327,0.9889119267463684,0.010572081431746483
15,0.9906452298164368,0.00867284182459116,0.9891954064369202,0.010108781978487968
16,0.9907152056694031,0.008374006487429142,0.9892423748970032,0.010129365138709545
17,0.9908425807952881,0.007885236293077469,0.989260733127594,0.010540886782109737
18,0.9908111691474915,0.00795760378241539,0.9894046783447266,0.009394779801368713
19,0.9897507429122925,0.012741638347506523,0.988587498664856,0.013610156252980232
